sample,date
person_699925,2000-01-16
person_208779,2000-01-18
person_352538,2000-01-13
person_991858,2000-01-15
person_422277,2000-01-17
person_419193,2000-01-24
person_347085,2000-01-26
person_187972,2000-01-28
person_593873,2000-01-25
person_314546,2000-01-27
person_775759,2000-01-26
person_885608,2000-01-30
person_791093,2000-01-29
person_120976,2000-01-27
person_345800,2000-01-29
person_939551,2000-01-27
person_905277,2000-01-30
person_421213,2000-01-31
person_184287,2000-01-31
person_134492,2000-02-03
person_515886,2000-01-29
person_110268,2000-01-30
person_482072,2000-01-30
person_319178,2000-01-26
person_227902,2000-02-03
person_117657,2000-02-03
person_846967,2000-02-01
person_969738,2000-01-31
person_912604,2000-01-28
person_73692,2000-01-28
person_78947,2000-01-30
person_706860,2000-02-04
person_594417,2000-02-01
person_85487,2000-02-02
person_823132,2000-02-02
person_725575,2000-02-04
person_467777,2000-02-03
person_667281,2000-02-01
person_823677,2000-01-30
person_394420,2000-02-03
person_293845,2000-02-01
person_46665,2000-02-03
person_549470,2000-02-05
person_627053,2000-02-05
person_87848,2000-02-05
person_814203,2000-02-03
person_717674,2000-02-05
person_228812,2000-02-06
person_563888,2000-02-06
person_395990,2000-02-06
